,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
454,Adaptation.,2002,7.7,83.0,174274,22.25,115
455,Shoplifters,2018,8.0,93.0,56764,3.31,121
456,"Paris, Texas",1984,8.1,78.0,86642,2.18,145
457,Akira,1988,8.0,,159632,0.55,124
458,When Harry Met Sally...,1989,7.6,76.0,190740,92.82,95
459,Singin' in the Rain,1952,8.3,99.0,213247,8.82,103
460,Changeling,2008,7.7,63.0,233641,35.74,141
461,The Naked Gun: From the Files of Police Squad!,1988,7.6,76.0,148633,78.76,85
462,Cinema Paradiso,1988,8.5,80.0,223156,11.99,155
463,Let the Right One In,2008,7.9,82.0,202713,2.12,114
464,Dark City,1998,7.6,66.0,185266,14.38,100
465,The Royal Tenenbaums,2001,7.6,76.0,260996,52.36,110
466,Gangs of Wasseypur,2012,8.2,89.0,78582,,321
467,Planet of the Apes,1968,8.0,79.0,162910,33.4,112
468,Chhichhore,2019,8.2,,29498,0.9,143
469,Metropolis,1927,8.3,98.0,156133,1.24,153
470,Gifted,2017,7.6,60.0,95870,24.8,101
471,Before Midnight,2013,7.9,94.0,136659,8.11,109
472,JFK,1991,8.0,72.0,138705,70.41,189
473,Fanny and Alexander,1982,8.1,100.0,56279,4.97,188
474,Wild Tales,2014,8.1,77.0,170551,3.11,122
475,The Name of the Rose,1986,7.7,54.0,99414,7.15,130
476,To Kill a Mockingbird,1962,8.2,88.0,288871,,129
477,The Holy Mountain,1973,7.9,76.0,35437,0.06,114
478,The Color Purple,1985,7.8,78.0,76551,98.47,154
479,Dangerous Liaisons,1988,7.6,74.0,63373,34.7,119
480,Monty Python's Life of Brian,1979,8.1,77.0,359405,20.05,94
481,The Illusionist,2006,7.6,68.0,350702,39.87,110
482,La Haine,1995,8.1,,144614,0.31,98
483,This Is England,2006,7.7,86.0,114253,0.33,101
484,Isle of Dogs,2018,7.9,82.0,132858,32.02,101
485,The French Connection,1971,7.7,94.0,107441,15.63,104
486,The Girl with the Dragon Tattoo,2009,7.8,76.0,206127,10.1,152
487,Perfect Blue,1997,8.0,,54217,0.78,81
488,The Seventh Seal,1957,8.2,88.0,159412,,96
489,Toy Story 2,1999,7.9,88.0,514678,245.85,92
490,This Is Spinal Tap,1984,7.9,92.0,126700,0.19,82
491,The Sting,1973,8.3,83.0,236384,159.6,129
492,Lethal Weapon,1987,7.6,68.0,232427,65.21,109
493,Road to Perdition,2002,7.7,72.0,242479,104.45,117
494,Gandhi,1982,8.0,79.0,215259,52.77,191
495,The Skin I Live In,2011,7.6,70.0,135151,3.19,120
496,Midnight Express,1978,7.6,59.0,72109,35.0,121
497,Ip Man,2008,8.0,59.0,208052,,106
498,A Fistful of Dollars,1964,8.0,65.0,192427,14.5,99
499,The Jungle Book,1967,7.6,65.0,162430,141.84,78
500,Eastern Promises,2007,7.6,82.0,223955,17.11,100
501,In the Mood for Love,2000,8.1,85.0,119237,2.73,98
502,Annie Hall,1977,8.0,92.0,248306,39.2,93
503,Sunset Blvd.,1950,8.4,,195887,,110
504,Malcolm X,1992,7.7,73.0,83522,48.17,202
505,Hachi: A Dog's Tale,2009,8.1,,245951,,93
506,Philadelphia,1993,7.7,66.0,219737,77.32,125
507,Midnight Cowboy,1969,7.8,79.0,98758,44.79,113
508,The Lego Movie,2014,7.7,83.0,319394,257.76,100
509,Flipped,2010,7.7,45.0,79842,1.75,90
510,Billy Elliot,2000,7.7,74.0,124100,22.0,110
511,The Conversation,1974,7.8,85.0,95652,4.42,113
512,Glory,1989,7.8,78.0,118926,26.83,122
513,The Ten Commandments,1956,7.8,,62370,93.74,220
514,Days of Heaven,1978,7.8,93.0,51103,,94
515,Patton,1970,7.9,91.0,92408,61.7,172
516,"Blood In, Blood Out",1993,8.0,47.0,28323,4.5,180
517,8½,1963,8.0,,106492,0.05,138
518,The Fall,2006,7.9,64.0,105866,2.28,117
519,"Crouching Tiger, Hidden Dragon",2000,7.8,94.0,249608,128.08,120
520,After Hours,1985,7.7,90.0,56861,10.6,97
521,The Elephant Man,1980,8.1,78.0,214560,,124
522,The Apartment,1960,8.3,94.0,159096,18.6,125
523,October Sky,1999,7.8,71.0,80572,32.48,108
524,Kiki's Delivery Service,1989,7.8,83.0,118096,,103
525,Charade,1963,7.9,83.0,66398,13.47,113
526,A Separation,2011,8.3,95.0,214230,7.1,123
527,Klaus,2019,8.2,65.0,74935,,96
528,Ran,1985,8.2,96.0,108927,4.14,162
529,The Raid: Redemption,2011,7.6,73.0,187236,4.11,101
530,The Last Picture Show,1971,8.0,93.0,41271,29.13,118
531,50/50,2011,7.6,72.0,312034,35.01,100
532,Mississippi Burning,1988,7.8,65.0,85844,34.6,128
533,Battle Royale,2000,7.6,81.0,166496,,114
534,The Wrestler,2008,7.9,80.0,286294,26.24,109
535,Robin Hood,1973,7.6,57.0,112795,32.06,83
536,Ponyo,2008,7.7,86.0,120249,15.09,101
537,Bonnie and Clyde,1967,7.8,86.0,100302,,111
538,Cool Hand Luke,1967,8.1,92.0,158473,16.22,127
539,The Boy in the Striped Pajamas,2008,7.8,55.0,185903,9.03,94
540,Harakiri,1962,8.7,85.0,37378,,133
541,Kramer vs. Kramer,1979,7.8,77.0,129749,106.26,105
542,Amores Perros,2000,8.1,83.0,219334,5.38,154
543,Ghost in the Shell,1995,8.0,76.0,125597,0.52,83
544,The Man from Earth,2007,7.9,,170775,,87
545,Cold War,2018,7.6,90.0,45917,4.57,89
546,Ben-Hur,1959,8.1,90.0,214928,74.7,212
547,Rebecca,1940,8.1,86.0,119355,4.36,130
548,Star Trek II: The Wrath of Khan,1982,7.7,67.0,110798,78.91,113
549,Andhadhun,2018,8.3,,65863,1.37,139
550,The King of Comedy,1982,7.8,73.0,84362,2.5,109
551,Nausicaä of the Valley of the Wind,1984,8.1,86.0,145069,0.5,117
552,Awakenings,1990,7.8,74.0,120817,52.1,121
553,On the Waterfront,1954,8.1,91.0,138596,9.6,108
554,A Streetcar Named Desire,1951,8.0,97.0,97271,8.0,122
555,Paprika,2006,7.7,81.0,68619,0.88,90
556,Rushmore,1998,7.7,86.0,165932,17.11,93
557,Paths of Glory,1957,8.4,90.0,172756,,88
558,Dirty Harry,1971,7.7,90.0,140677,35.9,102
559,Snow White and the Seven Dwarfs,1937,7.6,95.0,177211,184.93,83
560,The Killing Fields,1984,7.8,76.0,50572,34.7,141
561,The Body,2012,7.6,,54598,,112
562,I Am Sam,2001,7.7,28.0,141176,40.31,132
563,The Insider,1999,7.8,84.0,157101,28.97,157
564,Ed Wood,1994,7.8,70.0,162957,5.89,127
565,Night of the Living Dead,1968,7.9,89.0,113307,0.09,96
566,Ray,2004,7.7,73.0,136123,75.33,152
567,Roman Holiday,1953,8.0,78.0,124724,,118
568,Die Hard with a Vengeance,1995,7.6,58.0,357307,100.01,128
569,Solaris,1972,8.1,90.0,78243,,167
570,In the Heat of the Night,1967,7.9,75.0,65951,24.38,110
571,Kelly's Heroes,1970,7.6,50.0,44358,1.38,144
572,The Artist,2011,7.9,89.0,227373,44.67,100
573,Castle in the Sky,1986,8.0,78.0,145390,,125
574,Kung Fu Hustle,2004,7.7,78.0,124790,17.11,99
575,Batman: Mask of the Phantasm,1993,7.8,,42427,5.62,76
576,Doctor Zhivago,1965,8.0,69.0,68288,111.72,197
577,From Here to Eternity,1953,7.6,85.0,42415,30.5,118
578,Blood Simple,1984,7.6,81.0,85521,2.15,99
579,Network,1976,8.1,83.0,141951,,121
580,In the Name of the Father,1993,8.1,84.0,152865,25.01,133
581,The Man Who Would Be King,1975,7.8,91.0,43154,,129
582,How to Train Your Dragon 2,2014,7.8,76.0,298482,177.0,102
583,Sling Blade,1996,8.0,84.0,85735,24.48,135
584,Taare Zameen Par,2007,8.4,,161960,1.22,165
585,Mysterious Skin,2004,7.6,73.0,65029,0.7,105
586,The Bridge on the River Kwai,1957,8.1,87.0,198768,44.91,161
587,The Right Stuff,1983,7.8,91.0,54974,21.5,193
588,Funny Games,1997,7.6,69.0,62836,,108
589,The Bridges of Madison County,1995,7.6,66.0,71218,71.52,135
590,All the President's Men,1976,8.0,84.0,99908,70.6,138
591,Barton Fink,1991,7.7,69.0,110954,6.15,116
592,"Planes, Trains & Automobiles",1987,7.6,72.0,119365,49.53,93
593,The Day of the Jackal,1973,7.8,80.0,36554,16.06,143
594,Hotel Rwanda,2004,8.1,79.0,329370,23.53,121
595,The Iron Giant,1999,8.0,85.0,168352,23.16,86
596,Mommy,2014,8.1,74.0,48766,3.49,139
597,Ordinary People,1980,7.7,86.0,45750,54.8,124
598,The Great Beauty,2013,7.8,86.0,78871,2.85,141
599,Finding Neverland,2004,7.7,67.0,196393,51.68,106
600,Dawn of the Dead,1978,7.9,71.0,109241,5.1,127
601,7 Kogustaki Mucize,2019,8.3,,28822,,132
602,Witness for the Prosecution,1957,8.4,,104608,8.18,116
603,Mother,2009,7.8,79.0,49002,0.55,129
604,The Dirty Dozen,1967,7.7,73.0,65764,45.3,150
605,Dancer in the Dark,2000,8.0,61.0,100120,4.18,140
606,Seven Pounds,2008,7.6,36.0,282351,69.95,123
607,Glengarry Glen Ross,1992,7.7,82.0,93906,10.73,100
608,The Last Emperor,1987,7.7,76.0,91884,43.98,163
609,Persona,1966,8.1,86.0,98925,,83
610,Miller's Crossing,1990,7.7,66.0,123794,5.08,115
611,The Great Dictator,1940,8.4,,197481,0.29,125
612,The Tenant,1976,7.7,,38501,1.92,126
613,Short Term 12,2013,8.0,82.0,79759,1.01,96
614,Wings of Desire,1987,8.0,79.0,63004,3.33,128
615,Hero,2002,7.9,85.0,172073,53.71,120
616,Naked,1993,7.8,84.0,33335,1.77,132
617,Baahubali: The Beginning,2015,8.1,,100250,6.74,159
618,Harold and Maude,1971,7.9,62.0,69488,,91
619,The Outlaw Josey Wales,1976,7.8,69.0,64166,31.8,135
620,Evil Dead II,1987,7.8,72.0,144695,5.92,84
621,Clerks,1994,7.7,70.0,209237,3.15,92
622,Lord of War,2005,7.6,62.0,289968,24.15,122
623,PK,2014,8.1,,157255,10.62,153
624,Beasts of No Nation,2015,7.7,79.0,71664,0.08,137
625,Black Book,2006,7.7,71.0,71577,4.4,145
626,The Straight Story,1999,8.0,86.0,80032,6.2,112
627,Lucky Number Slevin,2006,7.7,53.0,296834,22.49,110
628,The Longest Day,1962,7.8,75.0,51441,39.1,178
629,The Wind Rises,2013,7.8,83.0,70207,5.21,126
630,Nosferatu,1922,7.9,,86647,,94
631,Rashomon,1950,8.2,98.0,148264,0.1,88
632,La Dolce Vita,1960,8.0,95.0,64631,19.52,174
633,All That Jazz,1979,7.9,72.0,27277,37.82,123
634,The Best Offer,2013,7.8,49.0,105240,0.09,131
635,The Secret World of Arrietty,2010,7.6,80.0,77652,19.2,94
636,21 Grams,2003,7.7,70.0,221403,16.29,124
637,Chungking Express,1994,8.1,77.0,60067,0.6,102
638,M,1931,8.3,,139336,0.03,99
639,My Fair Lady,1964,7.8,95.0,84838,72.0,170
640,Cabaret,1972,7.8,80.0,47282,42.77,124
641,Drishyam,2015,8.2,,66105,0.74,163
642,The Night of the Hunter,1955,8.0,99.0,80247,0.65,92
643,Rope,1948,8.0,73.0,126006,,80
644,Fiddler on the Roof,1971,8.0,67.0,38370,80.5,181
645,Blow-Up,1966,7.6,82.0,55117,,111
646,Modern Times,1936,8.5,96.0,211343,0.16,87
647,The Last King of Scotland,2006,7.7,74.0,172874,17.61,123
648,Paddington 2,2017,7.8,88.0,58086,40.44,103
649,The Wild Bunch,1969,7.9,97.0,76100,12.06,135
650,Sing Street,2016,7.9,79.0,82877,3.24,106
651,Cinderella Man,2005,8.0,69.0,173545,61.65,144
652,The Maltese Falcon,1941,8.0,96.0,146843,2.11,100
653,Me and Earl and the Dying Girl,2015,7.7,74.0,120676,6.74,105
654,The Raid 2,2014,8.0,71.0,112099,2.63,150
655,Loving Vincent,2017,7.8,62.0,48451,6.74,94
656,Giant,1956,7.6,84.0,33288,,201
657,Dial M for Murder,1954,8.2,75.0,153394,0.01,105
658,The Third Man,1949,8.1,97.0,155282,0.45,93
659,Sabrina,1954,7.7,72.0,57717,,113
660,Letters from Iwo Jima,2006,7.9,89.0,152175,13.76,141
661,Hamlet,1996,7.7,,35556,4.41,242
662,Being There,1979,8.0,83.0,64260,30.18,130
663,The Manchurian Candidate,1962,7.9,94.0,70221,,126
664,The Man from Nowhere,2010,7.8,,60985,0.01,119
665,Three Colors: Red,1994,8.1,100.0,87745,4.04,99
666,The Hustler,1961,8.0,90.0,74009,8.28,134
667,Rio Bravo,1959,8.0,93.0,54816,12.54,141
668,Pride,2014,7.8,79.0,50657,,119
669,Manhattan,1979,7.9,83.0,129217,45.7,96
670,Breathless,1960,7.9,,71094,0.34,90
671,Hannah and Her Sisters,1986,7.9,90.0,65808,40.08,107
672,Happiness,1998,7.7,81.0,65450,2.81,134
673,A Little Princess,1995,7.7,83.0,31529,10.02,97
674,Badlands,1973,7.8,93.0,63973,,94
675,All About Eve,1950,8.2,98.0,117681,0.01,138
676,Kubo and the Two Strings,2016,7.8,84.0,115109,48.02,101
677,Yojimbo,1961,8.2,,107673,,110
678,The Remains of the Day,1993,7.8,84.0,64045,22.95,134
679,Victoria,2015,7.6,77.0,50942,,138
680,High Noon,1952,7.9,89.0,95601,9.45,85
681,Fantasia,1940,7.8,96.0,86828,76.41,125
682,Double Indemnity,1944,8.3,95.0,139627,5.72,107
683,A Man Called Ove,2015,7.7,70.0,45059,3.36,116
684,Where Eagles Dare,1968,7.7,63.0,50735,,158
685,Mary and Max,2009,8.1,,161145,,92
686,Duck You Sucker,1971,7.6,77.0,29331,0.7,138
687,Three Colors: Blue,1993,7.9,85.0,86486,1.32,94
688,My Left Foot,1989,7.9,97.0,66287,14.74,103
689,The Muppet Movie,1979,7.6,74.0,31933,76.66,95
690,Who's Afraid of Virginia Woolf?,1966,8.0,75.0,67841,,131
691,Pink Floyd: The Wall,1982,8.1,47.0,74788,22.24,95
692,"Spring, Summer, Fall, Winter... and Spring",2003,8.0,85.0,75635,2.38,103
693,Detachment,2011,7.7,52.0,74880,0.07,98
694,The Mirror,1975,8.1,,38162,0.18,107
695,Talk to Her,2002,7.9,86.0,102830,9.28,112
696,Strangers on a Train,1951,7.9,88.0,121085,7.63,101
697,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,,36503,,87
698,The Long Goodbye,1973,7.6,87.0,25280,0.96,112
699,25th Hour,2002,7.6,68.0,167904,13.06,135
700,Frankenstein,1931,7.8,91.0,63341,,70
701,Porco Rosso,1992,7.7,83.0,74245,,94
702,The Treasure of the Sierra Madre,1948,8.2,98.0,111518,5.01,126
703,Whisper of the Heart,1995,7.9,75.0,48968,,111
704,Frost/Nixon,2008,7.7,80.0,101466,18.59,122
705,Belle de Jour,1967,7.7,,39176,0.03,100
706,The African Queen,1951,7.7,91.0,70252,0.54,105
707,Bicycle Thieves,1948,8.3,,141570,0.33,89
708,City Lights,1931,8.5,99.0,162751,0.02,87
709,Nebraska,2013,7.7,87.0,110694,17.65,115
710,The Verdict,1982,7.7,77.0,35096,54.0,129
711,The Secret of NIMH,1982,7.6,76.0,35492,10.14,82
712,Run Lola Run,1998,7.6,77.0,185924,7.27,80
713,Breaking the Waves,1996,7.8,76.0,61189,4.04,159
714,King Kong,1933,7.9,90.0,77520,10.0,100
715,What Ever Happened to Baby Jane?,1962,8.1,75.0,48806,4.05,134
716,Lagaan: Once Upon a Time in India,2001,8.1,84.0,102649,0.07,224
717,Secrets & Lies,1996,8.0,91.0,36499,13.42,136
718,Lilya 4-Ever,2002,7.8,82.0,41870,0.18,109
719,Dead Man,1995,7.6,62.0,88695,1.04,121
720,La Vie En Rose,2007,7.6,66.0,81418,10.3,140
721,Paper Moon,1973,8.1,77.0,41294,30.93,102
722,The Big Sleep,1946,7.9,,77543,6.54,114
723,Notorious,1946,7.9,100.0,90449,10.46,102
724,Stagecoach,1939,7.8,93.0,42283,,96
725,The Man Who Shot Liberty Valance,1962,8.1,94.0,67275,,123
726,Open Your Eyes,1997,7.8,,62928,0.37,119
727,Amour,2012,7.9,94.0,91217,6.74,127
728,The Chaser,2008,7.9,64.0,56298,,125
729,Touch of Evil,1958,8.0,99.0,96900,2.24,95
730,The Killing,1956,8.0,91.0,79685,,84
731,All Quiet on the Western Front,1930,8.0,91.0,56373,3.27,152
732,Andrei Rublev,1966,8.1,,44843,0.1,205
733,"South Park: Bigger, Longer & Uncut",1999,7.7,73.0,189902,52.01,81
734,K.G.F: Chapter 1,2018,8.2,,31802,,156
735,All About My Mother,1999,7.8,87.0,87156,8.26,101
736,On Golden Pond,1981,7.6,68.0,27020,119.29,109
737,Ninja Scroll,1993,7.9,,33853,,94
738,The Day the Earth Stood Still,1951,7.7,,75403,,92
739,Throne of Blood,1957,8.1,,44959,,110
740,Wild Strawberries,1957,8.2,88.0,92880,,91
741,The Philadelphia Story,1940,7.9,96.0,62156,,112
742,3-Iron,2004,8.0,72.0,48857,0.24,88
743,Short Cuts,1993,7.7,79.0,41592,6.11,188
744,Leviathan,2014,7.6,92.0,48044,1.09,140
745,Children of Heaven,1997,8.3,,62361,0.93,89
746,When Marnie Was There,2014,7.7,72.0,30625,0.77,103
747,Once Were Warriors,1994,7.9,77.0,30963,2.2,102
748,The Taking of Pelham One Two Three,1974,7.7,68.0,25783,,104
749,Ikiru,1952,8.3,,65423,0.06,143
750,Red River,1948,7.8,,27447,,133
751,The Double Life of Véronique,1991,7.8,86.0,40592,2.0,98
752,Once,2007,7.8,88.0,109151,9.44,86
753,Song of the Sea,2014,8.1,85.0,49236,0.86,93
754,Anatomy of a Murder,1959,8.0,95.0,58443,11.9,161
755,The Salesman,2016,7.8,85.0,48699,2.4,124
756,The 400 Blows,1959,8.1,,101969,,99
757,Watership Down,1978,7.6,64.0,33039,,91
758,The Lion in Winter,1968,7.9,,28455,22.28,134
759,The Quiet Man,1952,7.7,,33858,10.55,129
760,The Legend of 1900,1998,8.1,58.0,57392,0.26,169
761,Zulu,1964,7.7,77.0,35186,,138
762,Land of Mine,2015,7.8,75.0,33889,0.44,100
763,Loveless,2017,7.6,86.0,28475,0.57,127
764,Repulsion,1965,7.7,91.0,47705,,105
765,Judgment at Nuremberg,1961,8.2,60.0,67392,,179
766,East of Eden,1955,7.9,72.0,39401,,118
767,Perfect Strangers,2016,7.8,,54504,,96
768,Underground,1995,8.1,,54226,0.17,167
769,Waking Life,2001,7.8,82.0,59928,2.89,99
770,Freaks,1932,7.9,80.0,41183,,64
771,The Cabinet of Dr. Caligari,1920,8.1,,55629,,67
772,Swades,2004,8.2,,81371,1.22,189
773,The Tale of The Princess Kaguya,2013,8.0,89.0,36428,1.51,137
774,Sympathy for Mr. Vengeance,2002,7.6,56.0,61085,0.05,129
775,Withnail & I,1987,7.7,84.0,39449,1.54,107
776,A Christmas Story,1983,7.9,77.0,127704,20.61,94
777,Eyes Without a Face,1960,7.7,90.0,26277,0.05,90
778,"Aguirre, the Wrath of God",1972,7.9,,51013,,95
779,The Diving Bell and the Butterfly,2007,8.0,92.0,102065,5.99,112
780,5 Centimeters Per Second,2007,7.6,,49309,,63
781,The Wave,2008,7.6,,100662,,107
782,Arsenic and Old Lace,1944,8.0,,64206,,118
783,Gully Boy,2019,8.1,65.0,29783,5.57,153
784,The Vanishing,1988,7.7,,33031,,107
785,Fitzcarraldo,1982,8.1,,30580,,158
786,Tokyo Story,1953,8.2,,50506,,136
787,Thank You for Smoking,2005,7.6,71.0,211180,24.79,92
788,Infernal Affairs,2002,8.0,75.0,116410,0.17,101
789,The Little Prince,2015,7.7,70.0,55128,1.34,108
790,Delicatessen,1991,7.6,66.0,79157,1.79,99
791,Love Me If You Dare,2003,7.6,45.0,66447,0.55,93
792,Le Samouraï,1967,8.1,,43972,0.04,101
793,Amarcord,1973,7.9,,38885,,123
794,Cat on a Hot Tin Roof,1958,8.0,84.0,43998,17.57,108
795,A Very Long Engagement,2004,7.6,76.0,70215,6.17,133
796,Guess Who's Coming to Dinner,1967,7.8,63.0,38373,56.7,108
797,The Kid,1921,8.3,,109103,5.45,68
798,The Best Years of Our Lives,1946,8.0,93.0,56294,23.65,170
799,Kagemusha,1980,8.0,84.0,31288,,162
800,The Hidden Fortress,1958,8.1,,33344,,126
801,Gilda,1946,7.7,,27193,,110
802,Cape Fear,1962,7.7,76.0,25718,,106
803,The Message,1976,8.2,,42940,,177
804,Laura,1944,8.0,,41693,4.36,88
805,The Battle of Algiers,1966,8.1,96.0,51230,0.06,121
806,The Hurricane,1999,7.6,74.0,90149,50.67,146
807,The Lunchbox,2013,7.8,76.0,48979,4.23,104
808,High and Low,1963,8.4,,31275,,143
809,Uri: The Surgical Strike,2019,8.3,,41348,4.19,138
810,The Motorcycle Diaries,2004,7.8,75.0,95423,16.76,126
811,The Lady Vanishes,1938,7.8,,46190,,96
812,Talvar,2015,8.2,,29989,0.34,132
813,Mr. Smith Goes to Washington,1939,8.1,73.0,104580,9.6,129
814,Volver,2006,7.6,84.0,93142,12.9,121
815,Elite Squad,2007,8.1,33.0,96478,0.01,115
816,Contempt,1963,7.6,,27995,0.04,102
817,Peeping Tom,1960,7.7,,30029,0.08,101
818,The White Ribbon,2009,7.8,82.0,67389,2.22,144
819,Good Bye Lenin!,2003,7.7,68.0,135744,4.06,121
820,Winter Sleep,2014,8.1,88.0,43928,0.17,196
821,Invasion of the Body Snatchers,1956,7.7,92.0,43887,,80
822,The Conformist,1970,8.0,100.0,26074,0.54,113
823,Queen,2013,8.2,,59503,1.43,146
824,Zindagi Na Milegi Dobara,2011,8.1,,65779,3.11,155
825,Three Colors: White,1994,7.6,88.0,61938,1.46,92
826,His Girl Friday,1940,7.9,,52306,0.3,92
827,A Man for All Seasons,1966,7.7,72.0,30520,28.35,120
828,Night on Earth,1991,7.8,68.0,54045,2.02,129
829,Rang De Basanti,2006,8.2,,109085,2.2,167
830,Kai Po Che,2013,7.7,40.0,30712,1.12,120
831,The Grapes of Wrath,1940,8.0,96.0,84630,0.06,129
832,Rififi,1955,8.2,97.0,26515,0.06,118
833,The Return,2003,8.0,82.0,41361,0.5,110
834,Shadow of a Doubt,1943,7.8,94.0,58019,,108
835,Bajrangi Bhaijaan,2015,8.0,,70065,8.18,163
836,Kal ho naa ho,2003,8.0,54.0,62050,1.79,186
837,The 39 Steps,1935,7.6,93.0,50553,,86
838,The Innocents,1961,7.8,88.0,25906,2.62,100
839,The Thin Man,1934,8.0,,25815,,91
840,Philomena,2013,7.6,77.0,92820,37.71,98
841,After the Wedding,2006,7.7,78.0,31342,0.41,120
842,Ivan's Childhood,1962,8.1,,30251,,84
843,Bringing Up Baby,1938,7.9,91.0,53949,,102
844,A Prophet,2009,7.9,90.0,92101,2.08,155
845,Miracle on 34th Street,1947,7.9,88.0,39096,2.65,96
846,Head-On,2004,7.9,78.0,50181,,121
847,The Bandit,1996,8.2,,61905,,128
848,Wolf Children,2012,8.1,71.0,37199,,117
849,The Red Shoes,1948,8.1,,29917,10.9,135
850,OMG: Oh My God!,2012,8.1,,49887,0.92,125
851,The Sea Inside,2004,8.0,74.0,76388,2.09,126
852,Dead Man's Shoes,2004,7.6,52.0,48553,0.01,90
853,Pink,2016,8.1,,37692,1.24,136
854,The Station Agent,2003,7.6,81.0,66586,5.74,89
855,Key Largo,1948,7.8,,36296,,100
856,"I, Daniel Blake",2016,7.9,78.0,51612,0.26,100
857,The Celebration,1998,8.0,82.0,76426,1.65,105
858,Shine,1996,7.7,87.0,50554,35.81,105
859,Fearless,2006,7.6,70.0,72069,24.63,104
860,Stalag 17,1953,8.0,84.0,50304,,120
861,The Odd Couple,1968,7.7,86.0,30884,44.53,105
862,The World's Fastest Indian,2005,7.8,68.0,51244,5.13,127
863,To Be or Not to Be,1942,8.2,86.0,27523,,99
864,The Wages of Fear,1953,8.1,85.0,52976,,131
865,Cowboy Bebop: The Movie,2001,7.9,61.0,42000,1.0,115
866,Out of the Past,1947,8.0,,31782,,97
867,Mustang,2015,7.6,83.0,34698,0.85,97
868,La Strada,1954,8.0,,56978,,108
869,To Have and Have Not,1944,7.8,,30258,,100
870,Wait Until Dark,1967,7.8,81.0,27142,17.55,108
871,Hedwig and the Angry Inch,2001,7.7,85.0,31495,3.03,95
872,Once Upon a Time in Anatolia,2011,7.9,82.0,39955,0.14,157
873,Bride of Frankenstein,1935,7.8,95.0,42208,4.36,75
874,Control,2007,7.7,78.0,60704,0.87,122
875,Sleuth,1972,8.0,,44112,4.08,138
876,The Girl Who Leapt Through Time,2006,7.7,,58652,,98
877,Ayla: The Daughter of War,2017,8.5,,32267,,125
878,My Father and My Son,2005,8.3,,76058,,112
879,My Name Is Khan,2010,8.0,50.0,96713,4.02,165
880,A Hard Day's Night,1964,7.6,96.0,39389,13.78,87
881,Death Note,2006,7.7,,28195,,126
882,Pierrot le Fou,1965,7.6,,28554,,110
883,Only Yesterday,1991,7.6,90.0,25489,0.45,118
884,Inherit the Wind,1960,8.1,75.0,26664,,128
885,The Invisible Man,1933,7.7,87.0,29303,,71
886,Tokyo Godfathers,2003,7.8,73.0,29892,0.13,92
887,Anand,1971,8.5,,28184,,122
888,Munna Bhai M.B.B.S.,2003,8.1,,72053,,156
889,Crimes and Misdemeanors,1989,7.9,77.0,53583,18.25,104
890,The Passion of Joan of Arc,1928,8.1,,45854,0.02,114
891,The Exterminating Angel,1962,8.1,,28777,,95
892,Badhaai Ho,2018,8.0,,26521,,124
893,Vivre Sa Vie,1962,8.0,,26799,,85
894,Down by Law,1986,7.8,75.0,46897,1.44,107
895,The Gold Rush,1925,8.2,,97533,5.45,95
896,Dil Chahta Hai,2001,8.1,,65525,0.3,183
897,About Elly,2009,8.0,87.0,43574,0.11,119
898,The General,1926,8.1,,78798,1.03,67
899,Confessions,2010,7.8,,34874,,106
900,Special 26,2013,8.0,,49700,1.08,144
901,Au Revoir les Enfants,1987,8.0,88.0,30468,4.54,104
902,Haider,2014,8.1,,49404,0.9,160
903,In a Lonely Place,1950,8.0,,25386,,94
904,Raise the Red Lantern,1991,8.1,,28749,2.6,125
905,Cries & Whispers,1972,8.1,,29172,1.74,91
906,Sunrise,1927,8.1,,46089,0.54,94
907,Diabolique,1955,8.0,,60355,,117
908,The Experiment,2001,7.7,60.0,89971,0.14,120
909,Kahaani,2012,8.1,,56482,1.04,122
910,Lifeboat,1944,7.6,78.0,25867,,97
911,Departures,2008,8.1,68.0,47676,1.5,130
912,Hard Boiled,1992,7.8,,45933,,128
913,Cell 211,2009,7.6,,62907,,113
914,The Discreet Charm of the Bourgeoisie,1972,7.9,93.0,37443,0.2,102
915,Sweet Smell of Success,1957,8.1,100.0,27263,,96
916,The Virgin Spring,1960,8.1,,26014,1.53,89
917,My Sassy Girl,2001,8.0,,44676,,137
918,Persepolis,2007,8.0,90.0,87043,4.45,96
919,The Broken Circle Breakdown,2012,7.8,70.0,38641,0.18,111
920,Udaan,2010,8.2,,41603,0.01,134
921,Interstate 60: Episodes of the Road,2002,7.7,,29392,,116
922,Hera Pheri,2000,8.2,,55030,,156
923,The Purple Rose of Cairo,1985,7.7,75.0,46153,10.63,82
924,"Black Cat, White Cat",1998,8.1,73.0,49862,0.35,127
925,The Circus,1928,8.1,90.0,27475,,72
926,Baby,2015,8.0,,51775,,159
927,Nights of Cabiria,1957,8.1,,41919,0.75,110
928,Baahubali 2: The Conclusion,2017,8.2,,72635,20.19,167
929,Evil,2003,7.8,61.0,35148,0.02,113
930,Lupin the 3rd: Castle of Cagliostro,1979,7.7,71.0,25949,,102
931,Brief Encounter,1945,8.0,92.0,34543,,86
932,Dilwale Dulhania Le Jayenge,1995,8.1,,61952,,181
933,Jules and Jim,1962,7.8,97.0,36595,,105
934,The Past,2013,7.8,85.0,44125,1.33,130
